method,n,i,j,x,y,u1,u2
TRT,6,0,0,0.08333333333333333,0.08333333333333333,1.3854166666666365,-5.6587332795165456e-15
TRT,6,0,1,0.08333333333333333,0.25,2.7708333333332678,-2.2237744183438574e-15
TRT,6,0,2,0.08333333333333333,0.41666666666666663,1.3854166666666363,-6.0299033369947e-15
TRT,6,0,3,0.08333333333333333,0.5833333333333334,-1.3854166666666299,-3.3002631068946316e-15
TRT,6,0,4,0.08333333333333333,0.75,-2.7708333333332673,-4.518133208285506e-15
TRT,6,0,5,0.08333333333333333,0.9166666666666666,-1.385416666666632,-1.1280153416469128e-15
TRT,6,1,0,0.25,0.08333333333333333,1.3854166666666328,-7.283336161418636e-15
TRT,6,1,1,0.25,0.25,2.770833333333269,-7.882676126082696e-15
TRT,6,1,2,0.25,0.41666666666666663,1.3854166666666332,-7.793816907151008e-15
TRT,6,1,3,0.25,0.5833333333333334,-1.385416666666634,-4.818569192581191e-15
TRT,6,1,4,0.25,0.75,-2.770833333333265,-5.8584621513759215e-15
TRT,6,1,5,0.25,0.9166666666666666,-1.3854166666666308,-4.8357282463646005e-15
TRT,6,2,0,0.41666666666666663,0.08333333333333333,1.3854166666666354,-6.220514318988494e-16
TRT,6,2,1,0.41666666666666663,0.25,2.7708333333332678,-4.286583380141645e-15
TRT,6,2,2,0.41666666666666663,0.41666666666666663,1.385416666666636,-1.7534006162903778e-15
TRT,6,2,3,0.41666666666666663,0.5833333333333334,-1.3854166666666303,-6.005419014923313e-15
TRT,6,2,4,0.41666666666666663,0.75,-2.770833333333264,-1.96601283331879e-15
TRT,6,2,5,0.41666666666666663,0.9166666666666666,-1.3854166666666337,-4.615960100681086e-15
TRT,6,3,0,0.5833333333333334,0.08333333333333333,1.385416666666633,5.2336660764345495e-15
TRT,6,3,1,0.5833333333333334,0.25,2.7708333333332664,8.317617020120663e-16
TRT,6,3,2,0.5833333333333334,0.41666666666666663,1.3854166666666343,4.162745259686018e-15
TRT,6,3,3,0.5833333333333334,0.5833333333333334,-1.3854166666666328,1.8092425515523786e-15
TRT,6,3,4,0.5833333333333334,0.75,-2.770833333333269,6.171902240048028e-15
TRT,6,3,5,0.5833333333333334,0.9166666666666666,-1.3854166666666314,7.399650426907821e-16
TRT,6,4,0,0.75,0.08333333333333333,1.385416666666634,5.750696523113793e-15
TRT,6,4,1,0.75,0.25,2.7708333333332646,8.12346470459491e-15
TRT,6,4,2,0.75,0.41666666666666663,1.385416666666636,5.8506653759259635e-15
TRT,6,4,3,0.75,0.5833333333333334,-1.3854166666666337,7.656205133512866e-15
TRT,6,4,4,0.75,0.75,-2.7708333333332615,8.946858037853615e-15
TRT,6,4,5,0.75,0.9166666666666666,-1.3854166666666352,5.7803307551123074e-15
TRT,6,5,0,0.9166666666666666,0.08333333333333333,1.3854166666666337,9.99682087996954e-16
TRT,6,5,1,0.9166666666666666,0.25,2.7708333333332678,2.8205304818476606e-15
TRT,6,5,2,0.9166666666666666,0.41666666666666663,1.3854166666666345,1.417465203147017e-15
TRT,6,5,3,0.9166666666666666,0.5833333333333334,-1.385416666666632,5.766422900699349e-15
TRT,6,5,4,0.9166666666666666,0.75,-2.770833333333265,2.950139583221666e-15
TRT,6,5,5,0.9166666666666666,0.9166666666666666,-1.385416666666631,5.569036116814826e-15
SRT,6,0,0,0.08333333333333333,0.08333333333333333,0.6682535331625202,-0.563348076079133
SRT,6,0,1,0.08333333333333333,0.25,1.1545770517752647,-0.6040572809926747
SRT,6,0,2,0.08333333333333333,0.41666666666666663,0.511852880287066,-0.5486106316133875
SRT,6,0,3,0.08333333333333333,0.5833333333333334,-0.6066669856633644,-0.4575926153134544
SRT,6,0,4,0.08333333333333333,0.75,-1.1776177324538246,-0.3974638315571172
SRT,6,0,5,0.08333333333333333,0.9166666666666666,-0.5481429756425048,-0.44711922647871116
SRT,6,1,0,0.25,0.08333333333333333,0.6940448862169997,-0.9971931534583155
SRT,6,1,1,0.25,0.25,1.1742060126321923,-1.0024952723000435
SRT,6,1,2,0.25,0.41666666666666663,0.4796603508913885,-1.0198547199193932
SRT,6,1,3,0.25,0.5833333333333334,-0.6940448862170254,-0.9971931534583531
SRT,6,1,4,0.25,0.75,-1.1742060126321772,-1.0024952723001126
SRT,6,1,5,0.25,0.9166666666666666,-0.4796603508913821,-1.0198547199194246
SRT,6,2,0,0.41666666666666663,0.08333333333333333,0.6066669856633092,-0.4575926153129457
SRT,6,2,1,0.41666666666666663,0.25,1.1776177324538044,-0.3974638315565836
SRT,6,2,2,0.41666666666666663,0.41666666666666663,0.5481429756425752,-0.4471192264781819
SRT,6,2,3,0.41666666666666663,0.5833333333333334,-0.6682535331624716,-0.563348076078663
SRT,6,2,4,0.41666666666666663,0.75,-1.1545770517752665,-0.6040572809922087
SRT,6,2,5,0.41666666666666663,0.9166666666666666,-0.5118528802871152,-0.5486106316128919
SRT,6,3,0,0.5833333333333334,0.08333333333333333,0.5118528802871468,0.5486106316133809
SRT,6,3,1,0.5833333333333334,0.25,1.1545770517752583,0.6040572809926769
SRT,6,3,2,0.5833333333333334,0.41666666666666663,0.6682535331624448,0.5633480760791485
SRT,6,3,3,0.5833333333333334,0.5833333333333334,-0.5481429756425718,0.4471192264787243
SRT,6,3,4,0.5833333333333334,0.75,-1.1776177324538089,0.3974638315571158
SRT,6,3,5,0.5833333333333334,0.9166666666666666,-0.6066669856632838,0.4575926153134443
SRT,6,4,0,0.75,0.08333333333333333,0.4796603508914542,1.0198547199193986
SRT,6,4,1,0.75,0.25,1.1742060126321763,1.0024952723000464
SRT,6,4,2,0.75,0.41666666666666663,0.6940448862169171,0.9971931534583214
SRT,6,4,3,0.75,0.5833333333333334,-0.47966035089144926,1.0198547199194268
SRT,6,4,4,0.75,0.75,-1.174206012632158,1.0024952723001117
SRT,6,4,5,0.75,0.9166666666666666,-0.6940448862169442,0.9971931534583585
SRT,6,5,0,0.9166666666666666,0.08333333333333333,0.5481429756426407,0.4471192264782012
SRT,6,5,1,0.9166666666666666,0.25,1.177617732453791,0.3974638315565839
SRT,6,5,2,0.9166666666666666,0.41666666666666663,0.6066669856632229,0.4575926153129339
SRT,6,5,3,0.9166666666666666,0.5833333333333334,-0.5118528802871929,0.5486106316128829
SRT,6,5,4,0.9166666666666666,0.75,-1.1545770517752618,0.6040572809922116
SRT,6,5,5,0.9166666666666666,0.9166666666666666,-0.6682535331623937,0.563348076078676
TRT,12,0,0,0.041666666666666664,0.041666666666666664,0.6703324851918653,-1.8066141643002937e-14
TRT,12,0,1,0.041666666666666664,0.125,1.831382407508084,-1.8460083988940005e-14
TRT,12,0,2,0.041666666666666664,0.20833333333333331,2.5017148926999377,-2.2114324464198173e-14
TRT,12,0,3,0.041666666666666664,0.2916666666666667,2.5017148926999306,-2.1489773058992046e-14
TRT,12,0,4,0.041666666666666664,0.375,1.831382407508082,-2.0114373106201624e-14
TRT,12,0,5,0.041666666666666664,0.4583333333333333,0.6703324851918632,-1.8558259955003143e-14
TRT,12,0,6,0.041666666666666664,0.5416666666666666,-0.6703324851918623,-1.8947703992549957e-14
TRT,12,0,7,0.041666666666666664,0.6249999999999999,-1.831382407508077,-1.8874839693987793e-14
TRT,12,0,8,0.041666666666666664,0.7083333333333333,-2.5017148926999346,-1.5024377673907605e-14
TRT,12,0,9,0.041666666666666664,0.7916666666666666,-2.501714892699936,-1.523453631042873e-14
TRT,12,0,10,0.041666666666666664,0.8749999999999999,-1.8313824075080873,-1.5960945632819655e-14
TRT,12,0,11,0.041666666666666664,0.9583333333333333,-0.6703324851918644,-1.3956149805705407e-14
TRT,12,1,0,0.125,0.041666666666666664,0.6703324851918651,-4.6375255976807504e-14
TRT,12,1,1,0.125,0.125,1.831382407508088,-4.669659577556806e-14
TRT,12,1,2,0.125,0.20833333333333331,2.501714892699936,-4.6628824340757874e-14
TRT,12,1,3,0.125,0.2916666666666667,2.5017148926999377,-4.9802079419710306e-14
TRT,12,1,4,0.125,0.375,1.8313824075080756,-4.5452370175544473e-14
TRT,12,1,5,0.125,0.4583333333333333,0.6703324851918608,-4.427288444253755e-14
TRT,12,1,6,0.125,0.5416666666666666,-0.6703324851918663,-4.732986081242613e-14
TRT,12,1,7,0.125,0.6249999999999999,-1.8313824075080842,-4.40686178092362e-14
TRT,12,1,8,0.125,0.7083333333333333,-2.5017148926999346,-4.4573443184609814e-14
TRT,12,1,9,0.125,0.7916666666666666,-2.501714892699937,-4.8550736340033835e-14
TRT,12,1,10,0.125,0.8749999999999999,-1.8313824075080822,-4.759109964258829e-14
TRT,12,1,11,0.125,0.9583333333333333,-0.6703324851918668,-4.3939519841306194e-14
TRT,12,2,0,0.20833333333333331,0.041666666666666664,0.6703324851918626,-6.231818337093246e-14
TRT,12,2,1,0.20833333333333331,0.125,1.831382407508087,-6.04378864529729e-14
TRT,12,2,2,0.20833333333333331,0.20833333333333331,2.5017148926999377,-6.43718337260604e-14
TRT,12,2,3,0.20833333333333331,0.2916666666666667,2.501714892699934,-6.841267458869023e-14
TRT,12,2,4,0.20833333333333331,0.375,1.8313824075080787,-6.583014720653564e-14
TRT,12,2,5,0.20833333333333331,0.4583333333333333,0.6703324851918616,-6.526812108676218e-14
TRT,12,2,6,0.20833333333333331,0.5416666666666666,-0.6703324851918648,-6.692208594235638e-14
TRT,12,2,7,0.20833333333333331,0.6249999999999999,-1.8313824075080862,-6.230928134531727e-14
TRT,12,2,8,0.20833333333333331,0.7083333333333333,-2.501714892699939,-6.178865367238221e-14
TRT,12,2,9,0.20833333333333331,0.7916666666666666,-2.5017148926999377,-5.909389166184318e-14
TRT,12,2,10,0.20833333333333331,0.8749999999999999,-1.8313824075080813,-6.163492458246097e-14
TRT,12,2,11,0.20833333333333331,0.9583333333333333,-0.6703324851918663,-6.450660108135131e-14
TRT,12,3,0,0.2916666666666667,0.041666666666666664,0.6703324851918633,-6.127346091677325e-14
TRT,12,3,1,0.2916666666666667,0.125,1.8313824075080862,-6.152486093594397e-14
TRT,12,3,2,0.2916666666666667,0.20833333333333331,2.501714892699936,-5.821867422333074e-14
TRT,12,3,3,0.2916666666666667,0.2916666666666667,2.501714892699937,-6.370649014222964e-14
TRT,12,3,4,0.2916666666666667,0.375,1.831382407508081,-6.125723617953294e-14
TRT,12,3,5,0.2916666666666667,0.4583333333333333,0.6703324851918626,-6.534175135425051e-14
TRT,12,3,6,0.2916666666666667,0.5416666666666666,-0.6703324851918616,-6.517856275532219e-14
TRT,12,3,7,0.2916666666666667,0.6249999999999999,-1.8313824075080822,-6.383325212651455e-14
TRT,12,3,8,0.2916666666666667,0.7083333333333333,-2.501714892699937,-6.342091827951881e-14
TRT,12,3,9,0.2916666666666667,0.7916666666666666,-2.501714892699938,-6.498255101011691e-14
TRT,12,3,10,0.2916666666666667,0.8749999999999999,-1.8313824075080847,-6.36428362948582e-14
TRT,12,3,11,0.2916666666666667,0.9583333333333333,-0.6703324851918661,-6.16462795432228e-14
TRT,12,4,0,0.375,0.041666666666666664,0.6703324851918606,-4.2986522390129195e-14
TRT,12,4,1,0.375,0.125,1.8313824075080847,-4.159989007262253e-14
TRT,12,4,2,0.375,0.20833333333333331,2.501714892699937,-4.3358526358016164e-14
TRT,12,4,3,0.375,0.2916666666666667,2.5017148926999337,-4.363515727281033e-14
TRT,12,4,4,0.375,0.375,1.8313824075080833,-4.574777137023899e-14
TRT,12,4,5,0.375,0.4583333333333333,0.6703324851918623,-4.780088761014356e-14
TRT,12,4,6,0.375,0.5416666666666666,-0.6703324851918614,-4.252962790103087e-14
TRT,12,4,7,0.375,0.6249999999999999,-1.8313824075080842,-4.2446066920301174e-14
TRT,12,4,8,0.375,0.7083333333333333,-2.501714892699938,-4.9333784787291984e-14
TRT,12,4,9,0.375,0.7916666666666666,-2.501714892699941,-4.8153016516071884e-14
TRT,12,4,10,0.375,0.8749999999999999,-1.831382407508084,-4.382183748259485e-14
TRT,12,4,11,0.375,0.9583333333333333,-0.670332485191866,-4.4820204229718403e-14
TRT,12,5,0,0.4583333333333333,0.041666666666666664,0.6703324851918633,-1.1326825485317255e-14
TRT,12,5,1,0.4583333333333333,0.125,1.8313824075080816,-1.421302026570444e-14
TRT,12,5,2,0.4583333333333333,0.20833333333333331,2.5017148926999355,-1.2279364260027137e-14
TRT,12,5,3,0.4583333333333333,0.2916666666666667,2.501714892699935,-1.2849030369683008e-14
TRT,12,5,4,0.4583333333333333,0.375,1.831382407508082,-1.3104396504766089e-14
TRT,12,5,5,0.4583333333333333,0.4583333333333333,0.6703324851918665,-1.6790389052191668e-14
TRT,12,5,6,0.4583333333333333,0.5416666666666666,-0.6703324851918616,-1.4300217246575517e-14
TRT,12,5,7,0.4583333333333333,0.6249999999999999,-1.831382407508084,-2.226929161915789e-14
TRT,12,5,8,0.4583333333333333,0.7083333333333333,-2.501714892699938,-2.0781129047272644e-14
TRT,12,5,9,0.4583333333333333,0.7916666666666666,-2.501714892699938,-2.0632191812598768e-14
TRT,12,5,10,0.4583333333333333,0.8749999999999999,-1.831382407508084,-1.940009170163424e-14
TRT,12,5,11,0.4583333333333333,0.9583333333333333,-0.6703324851918663,-1.4110172261457564e-14
TRT,12,6,0,0.5416666666666666,0.041666666666666664,0.6703324851918625,1.7796512808962476e-14
TRT,12,6,1,0.5416666666666666,0.125,1.8313824075080796,1.8518902402715355e-14
TRT,12,6,2,0.5416666666666666,0.20833333333333331,2.5017148926999346,2.194489961678324e-14
TRT,12,6,3,0.5416666666666666,0.2916666666666667,2.5017148926999355,2.150092138753559e-14
TRT,12,6,4,0.5416666666666666,0.375,1.8313824075080827,2.1749268034811127e-14
TRT,12,6,5,0.5416666666666666,0.4583333333333333,0.6703324851918638,1.96206847953953e-14
TRT,12,6,6,0.5416666666666666,0.5416666666666666,-0.6703324851918684,1.9093677748252597e-14
TRT,12,6,7,0.5416666666666666,0.6249999999999999,-1.831382407508082,1.8794781848181007e-14
TRT,12,6,8,0.5416666666666666,0.7083333333333333,-2.5017148926999355,1.3478808761433571e-14
TRT,12,6,9,0.5416666666666666,0.7916666666666666,-2.501714892699938,1.3018020393836025e-14
TRT,12,6,10,0.5416666666666666,0.8749999999999999,-1.831382407508084,1.4838735591657165e-14
TRT,12,6,11,0.5416666666666666,0.9583333333333333,-0.6703324851918638,1.6375475882363127e-14
TRT,12,7,0,0.6249999999999999,0.041666666666666664,0.6703324851918595,4.3789779727322766e-14
TRT,12,7,1,0.6249999999999999,0.125,1.831382407508078,4.3178223143176737e-14
TRT,12,7,2,0.6249999999999999,0.20833333333333331,2.5017148926999346,4.534106429276043e-14
TRT,12,7,3,0.6249999999999999,0.2916666666666667,2.501714892699933,4.996231215021171e-14
TRT,12,7,4,0.6249999999999999,0.375,1.8313824075080833,4.674239113203292e-14
TRT,12,7,5,0.6249999999999999,0.4583333333333333,0.670332485191862,4.655818050989998e-14
TRT,12,7,6,0.6249999999999999,0.5416666666666666,-0.6703324851918616,4.731724987186326e-14
TRT,12,7,7,0.6249999999999999,0.6249999999999999,-1.831382407508083,4.231360910534554e-14
TRT,12,7,8,0.6249999999999999,0.7083333333333333,-2.5017148926999364,4.395923647535513e-14
TRT,12,7,9,0.6249999999999999,0.7916666666666666,-2.501714892699937,4.5260189711025185e-14
TRT,12,7,10,0.6249999999999999,0.8749999999999999,-1.8313824075080873,4.1214695257104324e-14
TRT,12,7,11,0.6249999999999999,0.9583333333333333,-0.6703324851918646,4.813926677391756e-14
TRT,12,8,0,0.7083333333333333,0.041666666666666664,0.6703324851918611,6.166348787409438e-14
TRT,12,8,1,0.7083333333333333,0.125,1.8313824075080767,6.406539885236555e-14
TRT,12,8,2,0.7083333333333333,0.20833333333333331,2.5017148926999337,6.715870999201095e-14
TRT,12,8,3,0.7083333333333333,0.2916666666666667,2.501714892699934,6.416049235340119e-14
TRT,12,8,4,0.7083333333333333,0.375,1.8313824075080856,6.33432696998326e-14
TRT,12,8,5,0.7083333333333333,0.4583333333333333,0.670332485191864,6.394446970765078e-14
TRT,12,8,6,0.7083333333333333,0.5416666666666666,-0.6703324851918623,6.755179712332069e-14
TRT,12,8,7,0.7083333333333333,0.6249999999999999,-1.8313824075080816,6.460729296933497e-14
