ell,choice,s_plus,n,h,velocity_error,fitted_slip,predicted_slip,fixed_point_full_residual
0.0,OTRT,0.18181818181818188,16,0.0625,0.0003906249999993399,0.00039062499999924244,0.00039062499999999986,4.336808689942018e-19
0.0,OTRT,0.18181818181818188,24,0.041666666666666664,0.00017361111111020237,0.00017361111111017285,0.00017361111111111104,2.168404344971009e-19
0.0,OTRT,0.18181818181818188,32,0.03125,9.765624999700904e-05,9.765624999720694e-05,9.765624999999996e-05,2.168404344971009e-19
0.0,OTRT,0.18181818181818188,48,0.020833333333333332,4.3402777788773616e-05,4.340277778797442e-05,4.340277777777776e-05,1.0842021724855044e-19
0.0,OTRT,0.18181818181818188,64,0.015625,2.4414062516748035e-05,2.441406251527802e-05,2.441406249999999e-05,1.0842021724855044e-19
0.0,OTRT,0.18181818181818188,96,0.010416666666666666,1.085069446937206e-05,1.0850694467346381e-05,1.085069444444444e-05,5.421010862427522e-20
0.0,OTRT,0.18181818181818188,128,0.0078125,6.103515660487586e-06,6.103515660906214e-06,6.103515624999998e-06,5.421010862427522e-20
0.0,0.8 tuned,0.2666666666666668,16,0.0625,0.00011718750000008315,0.00011718749999991287,0.00011718749999999993,2.168404344971009e-19
0.0,0.8 tuned,0.2666666666666668,24,0.041666666666666664,5.208333333401982e-05,5.208333333323765e-05,5.20833333333333e-05,2.168404344971009e-19
0.0,0.8 tuned,0.2666666666666668,32,0.03125,2.9296874994128665e-05,2.929687499423167e-05,2.9296874999999982e-05,3.2526065174565133e-19
0.0,0.8 tuned,0.2666666666666668,48,0.020833333333333332,1.302083334491893e-05,1.302083334802195e-05,1.3020833333333326e-05,1.0842021724855044e-19
0.0,0.8 tuned,0.2666666666666668,64,0.015625,7.324218755111315e-06,7.324218754566456e-06,7.3242187499999955e-06,1.0842021724855044e-19
0.0,0.8 tuned,0.2666666666666668,96,0.010416666666666666,3.255208355539522e-06,3.2552083625796274e-06,3.2552083333333314e-06,8.131516293641283e-20
0.0,0.8 tuned,0.2666666666666668,128,0.0078125,1.8310547763300839e-06,1.8310547759714958e-06,1.8310546874999989e-06,5.421010862427522e-20
0.0,tuned,0.3333333333333334,16,0.0625,1.9275217362561773e-15,-2.1224162556761766e-15,0.0,6.505213034913027e-19
0.0,tuned,0.3333333333333334,24,0.041666666666666664,1.8902462799171414e-15,-1.713944686667662e-15,0.0,2.168404344971009e-19
0.0,tuned,0.3333333333333334,32,0.03125,2.7219452103190044e-16,1.3379537137459185e-16,0.0,2.168404344971009e-19
0.0,tuned,0.3333333333333334,48,0.020833333333333332,8.492287902262365e-15,7.366327644362891e-15,0.0,1.0842021724855044e-19
0.0,tuned,0.3333333333333334,64,0.015625,2.4335006137399848e-14,2.3356743363747263e-14,0.0,1.0842021724855044e-19
0.0,tuned,0.3333333333333334,96,0.010416666666666666,2.0907195132458925e-14,1.9868024720048812e-14,0.0,5.421010862427522e-20
0.0,tuned,0.3333333333333334,128,0.0078125,1.140090858793702e-13,9.452518120758423e-14,0.0,5.421010862427522e-20
0.0,1.2 tuned,0.4000000000000001,16,0.0625,7.812499999799961e-05,-7.812499999801248e-05,-7.812499999999993e-05,4.336808689942018e-19
0.0,1.2 tuned,0.4000000000000001,24,0.041666666666666664,3.472222222293997e-05,-3.47222222228484e-05,-3.472222222222219e-05,2.168404344971009e-19
0.0,1.2 tuned,0.4000000000000001,32,0.03125,1.9531250001271082e-05,-1.9531250002789764e-05,-1.9531249999999983e-05,2.168404344971009e-19
0.0,1.2 tuned,0.4000000000000001,48,0.020833333333333332,8.680555540911076e-06,-8.680555541387645e-06,-8.680555555555547e-06,1.0842021724855044e-19
0.0,1.2 tuned,0.4000000000000001,64,0.015625,4.882812464586167e-06,-4.882812461988193e-06,-4.882812499999996e-06,1.0842021724855044e-19
0.0,1.2 tuned,0.4000000000000001,96,0.010416666666666666,2.1701388710334437e-06,-2.1701388679019387e-06,-2.1701388888888868e-06,5.421010862427522e-20
0.0,1.2 tuned,0.4000000000000001,128,0.0078125,1.2207030429741343e-06,-1.2207030506281944e-06,-1.220703124999999e-06,5.421010862427522e-20
0.0,SRT,1.8181818181818181,16,0.0625,0.0003828124999956448,-0.00038281249999612074,-0.0003828124999999999,6.505213034913027e-19
0.0,SRT,1.8181818181818181,24,0.041666666666666664,0.00017013888889292123,-0.00017013888889399112,-0.00017013888888888884,5.421010862427522e-19
0.0,SRT,1.8181818181818181,32,0.03125,9.570312499954529e-05,-9.570312499885483e-05,-9.570312499999998e-05,4.336808689942018e-19
0.0,SRT,1.8181818181818181,48,0.020833333333333332,4.2534722222736995e-05,-4.2534722224475865e-05,-4.253472222222221e-05,2.710505431213761e-19
0.0,SRT,1.8181818181818181,64,0.015625,2.3925781228470436e-05,-2.3925781230908634e-05,-2.3925781249999994e-05,1.0842021724855044e-19
0.0,SRT,1.8181818181818181,96,0.010416666666666666,1.0633680472856507e-05,-1.063368049484886e-05,-1.0633680555555552e-05,1.0842021724855044e-19
0.0,SRT,1.8181818181818181,128,0.0078125,5.981445292675379e-06,-5.981445331740762e-06,-5.9814453124999985e-06,1.0842021724855044e-19
