rate_choice,a_exact,s_plus_exact,n,h,status,e_u2,d2
OTRT,3/25,2/7,96,0.010416666666666666,regular,0.00017362912959634504,1.773786113425995e-05
OTRT,3/25,2/7,128,0.0078125,regular,9.767882047819342e-05,1.4880869386477355e-05
interior,3/25,1/20,96,0.010416666666666666,regular,0.0003983045861188388,3.5474933197519774e-05
interior,3/25,1/20,128,0.0078125,regular,0.00022507301244675058,1.6967214552717486e-05
interior,3/25,1/10,96,0.010416666666666666,regular,5.2671556263180515e-05,2.3154438984764642e-05
interior,3/25,1/10,128,0.0078125,regular,2.9792432875113465e-05,1.0770668370767525e-05
interior,3/25,3/20,96,0.010416666666666666,regular,6.328337238602223e-05,1.6668048664479195e-05
interior,3/25,3/20,128,0.0078125,regular,3.55599327947319e-05,1.1195445575856409e-05
interior,3/25,1/5,96,0.010416666666666666,regular,0.00012131830291904562,1.5886848086796025e-05
interior,3/25,1/5,128,0.0078125,regular,6.823949080389137e-05,1.2736329123524102e-05
interior,3/25,1/4,96,0.010416666666666666,regular,0.00015618450804351,1.682696601827744e-05
interior,3/25,1/4,128,0.0078125,regular,8.786317101980371e-05,1.409498527187688e-05
interior,3/25,3/10,96,0.010416666666666666,regular,0.00017944567713677826,1.810653495463753e-05
interior,3/25,3/10,128,0.0078125,regular,0.00010095124913150056,1.5156679650981252e-05
interior,3/25,7/20,96,0.010416666666666666,regular,0.00019606895719458058,1.933321071192791e-05
interior,3/25,7/20,128,0.0078125,regular,0.00011030252565467363,1.5978391728621866e-05
interior,3/25,2/5,96,0.010416666666666666,regular,0.000208540838223274,2.0413446923583397e-05
interior,3/25,2/5,128,0.0078125,regular,0.00011731740760689323,1.662319331672818e-05
interior,3/25,9/20,96,0.010416666666666666,regular,0.00021824379663635166,2.134133288599183e-05
interior,3/25,9/20,128,0.0078125,regular,0.0001227742631882465,1.7138607818002907e-05
interior,3/25,1/2,96,0.010416666666666666,regular,0.00022600780006800462,2.2134502693174808e-05
interior,3/25,1/2,128,0.0078125,regular,0.00012714027136470014,1.7558149331337118e-05
interior,3/25,11/20,96,0.010416666666666666,regular,0.00023236124609832273,2.2814446140864875e-05
interior,3/25,11/20,128,0.0078125,regular,0.0001307128046813913,1.790533019488861e-05
interior,3/25,3/5,96,0.010416666666666666,regular,0.00023765652536380673,2.3400753588936458e-05
interior,3/25,3/5,128,0.0078125,regular,0.00013369015210917335,1.8196857378772596e-05
interior,3/25,13/20,96,0.010416666666666666,regular,0.00024213767163761587,2.3909825566601935e-05
interior,3/25,13/20,128,0.0078125,regular,0.00013620961350342787,1.844481267377618e-05
interior,3/25,7/10,96,0.010416666666666666,regular,0.0002459790370166868,2.4354979648354616e-05
interior,3/25,7/10,128,0.0078125,regular,0.0001383692737536451,1.8658096419170872e-05
interior,3/25,3/4,96,0.010416666666666666,regular,0.0002493085059453006,2.4746924049346118e-05
interior,3/25,3/4,128,0.0078125,regular,0.00014024107019740473,1.8843387219554268e-05
interior,3/25,4/5,96,0.010416666666666666,regular,0.0002522220086274341,2.5094263507827094e-05
interior,3/25,4/5,128,0.0078125,regular,0.0001418789612277325,1.900577704866048e-05
interior,3/25,17/20,96,0.010416666666666666,regular,0.00025479291465489143,2.5403939069754812e-05
interior,3/25,17/20,128,0.0078125,regular,0.00014332421273452532,1.914921247845306e-05
interior,3/25,9/10,96,0.010416666666666666,regular,0.0002570782968880414,2.568158217761725e-05
interior,3/25,9/10,128,0.0078125,regular,0.0001446089228387777,1.9276792271402915e-05
interior,3/25,19/20,96,0.010416666666666666,regular,0.0002591232181647158,2.5931792801860442e-05
interior,3/25,19/20,128,0.0078125,regular,0.00014575843385722156,1.9390981697675488e-05
interior,3/25,1,96,0.010416666666666666,regular,0.0002609637325477378,2.6158356789413934e-05
interior,3/25,1,128,0.0078125,regular,0.0001467930208636551,1.9493767002062094e-05
interior,3/25,21/20,96,0.010416666666666666,regular,0.0002626290293819685,2.636440804066297e-05
interior,3/25,21/20,128,0.0078125,regular,0.00014772909784864274,1.9586756444978076e-05
interior,3/25,11/10,96,0.010416666666666666,regular,0.0002641429929097344,2.6552565203281942e-05
interior,3/25,11/10,128,0.0078125,regular,0.00014858009513729454,1.967128110402803e-05
interior,3/25,23/20,96,0.010416666666666666,regular,0.00026552535508635134,2.6725025868006314e-05
interior,3/25,23/20,128,0.0078125,regular,0.00014935710779375596,1.9748437253816164e-05
interior,3/25,6/5,96,0.010416666666666666,regular,0.0002667925603615342,2.6883648252712675e-05
interior,3/25,6/5,128,0.0078125,regular,0.00015006938208113845,1.981914268586178e-05
interior,3/25,5/4,96,0.010416666666666666,regular,0.000267958422952492,2.7030012733191987e-05
interior,3/25,5/4,128,0.0078125,regular,0.00015072468513876164,1.988416939717407e-05
interior,3/25,13/10,96,0.010416666666666666,regular,0.0002690346324925914,2.7165470636838456e-05
interior,3/25,13/10,128,0.0078125,regular,0.00015132958937328907,1.994417042891367e-05
interior,3/25,27/20,96,0.010416666666666666,regular,0.00027003114735885445,2.729118450809624e-05
interior,3/25,27/20,128,0.0078125,regular,0.00015188969368086345,1.9999704744179036e-05
interior,3/25,7/5,96,0.010416666666666666,regular,0.00027095650372380067,2.740815878713238e-05
interior,3/25,7/5,128,0.0078125,regular,0.00015240979724426672,2.0051250529859843e-05
interior,3/25,29/20,96,0.010416666666666666,regular,0.00027181806070038846,2.7517266686388418e-05
interior,3/25,29/20,128,0.0078125,regular,0.00015289403740599653,2.009922200853926e-05
interior,3/25,3/2,96,0.010416666666666666,regular,0.00027262219645560014,2.7619269207526904e-05
interior,3/25,3/2,128,0.0078125,regular,0.0001533459999415585,2.0143976464699283e-05
interior,3/25,31/20,96,0.010416666666666666,regular,0.00027337446638349677,2.771483222328698e-05
interior,3/25,31/20,128,0.0078125,regular,0.00015376880800803752,2.018582419136268e-05
interior,3/25,8/5,96,0.010416666666666666,regular,0.00027407973164741696,2.7804543431620857e-05
interior,3/25,8/5,128,0.0078125,regular,0.00015416519444693514,2.0225040012165145e-05
interior,3/25,33/20,96,0.010416666666666666,regular,0.00027474226431904627,2.788892045329299e-05
interior,3/25,33/20,128,0.0078125,regular,0.0001545375608788766,2.0261863608222276e-05
interior,3/25,17/10,96,0.010416666666666666,regular,0.0002753658339988548,2.7968422186932577e-05
interior,3/25,17/10,128,0.0078125,regular,0.00015488802642436823,2.0296506864835277e-05
interior,3/25,7/4,96,0.010416666666666666,regular,0.00027595377957847795,2.8043457191645466e-05
interior,3/25,7/4,128,0.0078125,regular,0.00015521846804968036,2.0329157429821794e-05
interior,3/25,9/5,96,0.010416666666666666,regular,0.00027650906904573834,2.8114388912025945e-05
interior,3/25,9/5,128,0.0078125,regular,0.00015553055419509424,2.0359980969078062e-05
interior,3/25,37/20,96,0.010416666666666666,regular,0.0002770343495987464,2.8181543637517778e-05
interior,3/25,37/20,128,0.0078125,regular,0.0001558257729543903,2.038912728935466e-05
interior,3/25,19/10,96,0.010416666666666666,regular,0.0002775319898446567,2.8245213513075575e-05
interior,3/25,19/10,128,0.0078125,regular,0.00015610545579965233,2.0416727945397766e-05
interior,3/25,39/20,96,0.010416666666666666,regular,0.0002780069589712852,6.030832256525763e-05
interior,3/25,39/20,128,0.0078125,outlier,16.908933523503762,939.9652600560247
interior,3/25,2,96,0.010416666666666666,failure,,
interior,3/25,2,128,0.0078125,failure,,
SRT,3/25,12/7,96,0.010416666666666666,regular,0.0002755373172780826,2.7990299932822917e-05
SRT,3/25,12/7,128,0.0078125,regular,0.00015498440496153237,2.0306030916513468e-05
OTRT,4/25,2/9,96,0.010416666666666666,regular,0.0002562779569206724,1.91703368329442e-05
OTRT,4/25,2/9,128,0.0078125,regular,0.0001441725544564067,1.5308430408589903e-05
interior,4/25,1/20,96,0.010416666666666666,regular,2.325731494944603e-05,2.955444116537786e-05
interior,4/25,1/20,128,0.0078125,regular,1.3458027456222912e-05,1.4235790440570423e-05
interior,4/25,1/10,96,0.010416666666666666,regular,0.00015680394275712934,1.969719288435711e-05
interior,4/25,1/10,128,0.0078125,regular,8.816024246348093e-05,1.2170709053857238e-05
interior,4/25,3/20,96,0.010416666666666666,regular,0.00021704553710410636,1.787842009848197e-05
interior,4/25,3/20,128,0.0078125,regular,0.00012209249588070387,1.3547839959701905e-05
interior,4/25,1/5,96,0.010416666666666666,regular,0.0002472190891255795,1.8657053447823876e-05
interior,4/25,1/5,128,0.0078125,regular,0.00013907549101579186,1.4846856643354105e-05
interior,4/25,1/4,96,0.010416666666666666,regular,0.0002653399563133478,1.9815260407224785e-05
interior,4/25,1/4,128,0.0078125,regular,0.0001492706126819932,1.5798824999318335e-05
interior,4/25,3/10,96,0.010416666666666666,regular,0.0002774274868637121,2.087391810501249e-05
interior,4/25,3/10,128,0.0078125,regular,0.00015606956719182378,1.6491893799256916e-05
interior,4/25,7/20,96,0.010416666666666666,regular,0.0002860648365742169,2.176098963888347e-05
interior,4/25,7/20,128,0.0078125,regular,0.00016092704069448505,1.700995405921372e-05
interior,4/25,2/5,96,0.010416666666666666,regular,0.00029254470550359396,2.2491927140610526e-05
interior,4/25,2/5,128,0.0078125,regular,0.00016457073375974326,1.7408652939154238e-05
interior,4/25,9/20,96,0.010416666666666666,regular,0.0002975857026940992,2.3096030941215563e-05
interior,4/25,9/20,128,0.0078125,regular,0.00016740506510832197,1.7723629647250706e-05
interior,4/25,1/2,96,0.010416666666666666,regular,0.0003016191923334197,2.3599906700330843e-05
interior,4/25,1/2,128,0.0078125,regular,0.00016967274906797277,1.7978109155799562e-05
interior,4/25,11/20,96,0.010416666666666666,regular,0.00030491977734950466,2.4024733407572746e-05
interior,4/25,11/20,128,0.0078125,regular,0.00017152827142511389,1.818766128554332e-05
interior,4/25,3/5,96,0.010416666666666666,regular,0.0003076705789567078,2.4386770397602903e-05
interior,4/25,3/5,128,0.0078125,regular,0.00017307463937379816,1.8363035202947254e-05
interior,4/25,13/20,96,0.010416666666666666,regular,0.00030999840322803546,2.4698416801592836e-05
interior,4/25,13/20,128,0.0078125,regular,0.00017438317503374402,1.8511853758813208e-05
interior,4/25,7/10,96,0.010416666666666666,regular,0.0003119938437388459,2.496917112800302e-05
interior,4/25,7/10,128,0.0078125,regular,0.00017550482841844416,1.8639658349797308e-05
interior,4/25,3/4,96,0.010416666666666666,regular,0.0003137233468498527,2.5206375289891434e-05
interior,4/25,3/4,128,0.0078125,regular,0.00017647696637219031,1.875056413363886e-05
interior,4/25,4/5,96,0.010416666666666666,regular,0.0003152367544622166,2.541576482613463e-05
interior,4/25,4/5,128,0.0078125,regular,0.00017732761628245133,1.884768694134804e-05
interior,4/25,17/20,96,0.010416666666666666,regular,0.000316572185710016,2.5601869780056814e-05
interior,4/25,17/20,128,0.0078125,regular,0.00017807821235962205,1.8933427526014295e-05
interior,4/25,9/10,96,0.010416666666666666,regular,0.0003177592920368621,2.5768307109420364e-05
interior,4/25,9/10,128,0.0078125,regular,0.00017874542667514453,1.900966280216513e-05
interior,4/25,19/20,96,0.010416666666666666,regular,0.00031882148472950204,2.5917994130150968e-05
interior,4/25,19/20,128,0.0078125,regular,0.00017934242210273631,1.907788119353702e-05
interior,4/25,1,96,0.010416666666666666,regular,0.0003197774944262626,2.6053307278876036e-05
interior,4/25,1,128,0.0078125,regular,0.00017987972945489203,1.913927833461853e-05
interior,4/25,21/20,96,0.010416666666666666,regular,0.00032064248517878685,2.6176198590515463e-05
interior,4/25,21/20,128,0.0078125,regular,0.00018036587402502386,1.919482179562052e-05
interior,4/25,11/10,96,0.010416666666666666,regular,0.00032142886480998834,2.6288287244503726e-05
interior,4/25,11/10,128,0.0078125,regular,0.000180807831348971,1.9245308750554955e-05
interior,4/25,23/20,96,0.010416666666666666,regular,0.0003221468838944785,2.6390924594801813e-05
interior,4/25,23/20,128,0.0078125,regular,0.00018121136401269894,1.92913963930906e-05
interior,4/25,6/5,96,0.010416666666666666,regular,0.0003228050850677278,2.648524814522948e-05
interior,4/25,6/5,128,0.0078125,regular,0.0001815812743309421,1.93336334862174e-05
interior,4/25,5/4,96,0.010416666666666666,regular,0.00032341064451806283,2.6572221302103927e-05
interior,4/25,5/4,128,0.0078125,regular,0.00018192159636604193,1.937248180898106e-05
interior,4/25,13/10,96,0.010416666666666666,regular,0.0003239696346924245,2.6652664931020965e-05
interior,4/25,13/10,128,0.0078125,regular,0.00018223574364294499,1.9408331986292753e-05
interior,4/25,27/20,96,0.010416666666666666,regular,0.00032448722864746797,2.672728348964191e-05
interior,4/25,27/20,128,0.0078125,regular,0.00018252662405734662,1.944151731681991e-05
interior,4/25,7/5,96,0.010416666666666666,regular,0.00032496786061021645,2.6796683860765104e-05
interior,4/25,7/5,128,0.0078125,regular,0.00018279673014445056,1.947232357368977e-05
interior,4/25,29/20,96,0.010416666666666666,regular,0.0003254153533352114,2.686139199625198e-05
interior,4/25,29/20,128,0.0078125,regular,0.00018304821068896793,1.950099701236202e-05
interior,4/25,3/2,96,0.010416666666666666,regular,0.0003258330199931182,2.6921865893843296e-05
interior,4/25,3/2,128,0.0078125,regular,0.00018328292800832863,1.9527751500354243e-05
interior,4/25,31/20,96,0.010416666666666666,regular,0.00032622374633850976,2.6978505766539897e-05
interior,4/25,31/20,128,0.0078125,regular,0.00018350250414306496,1.955277210329266e-05
interior,4/25,8/5,96,0.010416666666666666,regular,0.0003265900574903146,2.7031664023508172e-05
interior,4/25,8/5,128,0.0078125,regular,0.00018370835841502586,1.9576222581077996e-05
interior,4/25,33/20,96,0.010416666666666666,regular,0.00032693417255183304,2.7081650487949774e-05
interior,4/25,33/20,128,0.0078125,regular,0.00018390173811986285,1.9598245760656835e-05
