choice,s_plus,n,h,status,e_u1_l2,e_u2_l2,e_u3_l2,e_u_l2,d2,mass_drift,density_min,density_max,density_fluctuation,energy_ratio,m_h
OTRT,0.09523809523809523,12,0.08333333333333333,completed,0.00031707699383759795,0.00031707699383759757,0.0003170769938375977,0.0005491934632379231,2.4055259650221395e-06,0.0,0.9999890333869899,1.0000109975845008,1.09975845008492e-05,0.42087422747296843,0.006621298131015645
OTRT,0.09523809523809523,16,0.0625,completed,0.00018009447551217423,0.00018009447551217423,0.00018009447551217445,0.0003119327817495549,8.931761780828295e-07,0.0,0.9999939385984644,1.0000060701735585,6.07017355847006e-06,0.4244364190264573,0.004955192289301212
OTRT,0.09523809523809523,24,0.041666666666666664,completed,8.059240580612985e-05,8.059240580612987e-05,8.059240580613046e-05,0.00013959014156042623,3.5106287841221693e-07,0.0,0.9999972510694083,1.0000027520688621,2.7520688621329725e-06,0.4270333547103214,0.0033252862696079586
OTRT,0.09523809523809523,32,0.03125,completed,4.544141531066996e-05,4.544141531066993e-05,4.5441415310670444e-05,7.870684008591891e-05,2.1028496874375345e-07,0.0,0.9999984426827297,1.0000015585456674,1.5585456674127585e-06,0.4279526647154134,0.0024997539509646026
OTRT,0.09523809523809523,48,0.020833333333333332,completed,2.0230504850949644e-05,2.0230504850949563e-05,2.0230504850949577e-05,3.504026226461334e-05,1.3586046635786424e-07,0.0,0.9999993043410502,1.00000069589803,6.958980300897366e-07,0.42861261879018325,0.0016692722698633026
OTRT,0.09523809523809523,64,0.015625,completed,1.1386413516667733e-05,1.1386413516667586e-05,1.1386413516667383e-05,1.9721846726857238e-05,1.0983839417637455e-07,0.0,0.9999996080019854,1.0000003921624312,3.921624311953309e-07,0.42884425388002373,0.0012526831178780156
OTRT,0.09523809523809523,96,0.010416666666666666,completed,5.06277254350474e-06,5.062772543504571e-06,5.062772543504637e-06,8.768979272514768e-06,6.723073171474224e-08,0.0,0.9999998255590414,1.0000001744608724,1.7446087241523855e-07,0.4290099143585075,0.0008354695391862507
OTRT,0.09523809523809523,128,0.0078125,completed,2.848231748627482e-06,2.848231748627312e-06,2.8482317486274812e-06,4.933282100353447e-06,4.307447927663601e-08,0.0,0.9999999018334735,1.0000000981728636,9.817286361624156e-08,0.42906793625866446,0.0006266934150303781
SRT,1.9047619047619047,12,0.08333333333333333,completed,0.0010132552944063494,0.0010132552944063468,0.0010132552944063498,0.0017550096509499566,3.0778831540860284e-06,0.0,0.9999895121895643,1.0000105168089783,1.0516808978344727e-05,0.4030023159644287,0.00647920056154254
SRT,1.9047619047619047,16,0.0625,completed,0.0005668796829299901,0.0005668796829299923,0.0005668796829299896,0.0009818644126132795,8.56898298553168e-07,0.0,0.9999940833222483,1.0000059219646371,5.921964637112254e-06,0.41441682543297925,0.004896354551986958
SRT,1.9047619047619047,24,0.041666666666666664,completed,0.0002509643267636226,0.00025096432676362316,0.0002509643267636191,0.00043468296484191045,4.069674405498513e-07,0.0,0.999997279372407,1.00000272338864,2.72338863993582e-06,0.42259159393656603,0.0033079473134601557
SRT,1.9047619047619047,32,0.03125,completed,0.00014097349050295883,0.00014097349050295975,0.0001409734905029557,0.00024417324807145203,2.2093988415473378e-07,2.220446049250313e-16,0.9999984518540672,1.0000015497488517,1.5497488519145008e-06,0.42545650482590014,0.002492453046604322
SRT,1.9047619047619047,48,0.020833333333333332,completed,6.259323813153693e-05,6.259323813153695e-05,6.259323813153949e-05,0.00010841466865408106,1.18206234871341e-07,0.0,0.999999306147783,1.0000006942162418,6.942162418255293e-07,0.4275039665386359,0.0016671119383712722
SRT,1.9047619047619047,64,0.015625,completed,3.519655157824423e-05,3.519655157824209e-05,3.519655157824443e-05,6.096221558473645e-05,1.0265274658809982e-07,0.0,0.9999996085699018,1.000000391546629,3.91546628897288e-07,0.4282207864231933,0.001251772175344117
SRT,1.9047619047619047,96,0.010416666666666666,completed,1.5639055272782415e-05,1.563905527278416e-05,1.5639055272783763e-05,2.7087638314838876e-05,6.614782079640351e-08,0.0,0.9999998256716075,1.0000001743602667,1.7436026666928228e-07,0.4287328653416032,0.0008351997257547827
SRT,1.9047619047619047,128,0.0078125,completed,8.79620923717946e-06,8.796209237181745e-06,8.796209237180898e-06,1.5235481312803651e-05,4.347043577992272e-08,0.0,0.9999999018692116,1.0000000981368617,9.813686174808822e-08,0.42891210558508214,0.0006265796030655552
