choice,s_plus,n,h,actual_time,status,stop_reason,e_u1_l2,e_u2_l2,e_u3_l2,e_u_l2,d2,mass_drift,density_min,density_max,density_fluctuation,energy_ratio,m_h
OTRT,0.09523809523809523,16,0.0625,0.0625,completed,,0.03321994274657843,0.03321994274657844,0.0332199427465785,0.057538628661603086,0.1816630935199738,2.8503516112943217e-05,0.9826724141099068,1.0013161115918654,0.013835458514973364,1.0246414744269317,0.18976204781892905
OTRT,0.09523809523809523,32,0.03125,0.0625,completed,,0.003764158136331185,0.0037641581363311934,0.0037641581363311895,0.006519713139849397,0.044465734031353246,7.123548908416488e-06,0.99549835066212,0.9995058986229567,0.0026353443684907774,0.9867584943601528,0.09445166094414179
OTRT,0.09523809523809523,64,0.015625,0.0625,completed,,0.0010397731356068015,0.0010397731356067922,0.0010397731356068128,0.0018009398992161856,0.013627592547778187,1.780741635704075e-06,0.998873114658205,0.9999430293134849,0.0007253663793790333,0.9853188506930376,0.04730733111496411
OTRT,0.09523809523809523,128,0.0078125,0.0625,completed,,0.00026281520294443644,0.00026281520294445026,0.0002628152029444091,0.00045520928450128173,0.004566942332259998,4.451763102597539e-07,0.9997158875430774,0.9999942442131127,0.00018982695746272427,0.9848803431995119,0.023699317623572226
SRT,1.9047619047619047,16,0.0625,0.0625,completed,,0.03157719879526365,0.03157719879526391,0.03157719879526424,0.054693312674099874,0.11682586202703887,2.8503516112943217e-05,0.9821747738545972,1.003624941731229,0.016144288654337036,1.0259078957321421,0.1888386470870822
SRT,1.9047619047619047,32,0.03125,0.0625,completed,,0.002579140278829387,0.0025791402788293426,0.0025791402788294085,0.004467202002779846,0.01821813206158121,7.123548908416488e-06,0.9954078588319215,0.9995831239396867,0.0027125696852208225,0.987125179851655,0.09434867549211522
SRT,1.9047619047619047,64,0.015625,0.0625,completed,,0.0006997060914362112,0.0006997060914359854,0.0006997060914361348,0.0012119265007327778,0.003818615471984036,1.7807416355930528e-06,0.9988690691949502,0.9999395912287362,0.0007219282946304695,0.9854002754727386,0.04729236553018127
SRT,1.9047619047619047,128,0.0078125,0.0625,completed,,0.00017964561655002152,0.00017964561655144012,0.00017964561655073522,0.00031115533522290474,0.0006769440270163527,4.451763102597539e-07,0.9997152198134299,0.9999949210789385,0.00019050382328855697,0.9849028961855067,0.023697370833719495
