method,n,relative_deviation,transverse_ratio,stationarity_tail_max,divergence_l2,density_fluctuation,lattice_speed
TRT,6,0.093881154454044,2.8261546162292275e-15,1.5643168646626634e-14,7.776826332557782e-15,3.1086244689504383e-15,0.4618055555555448
SRT,6,0.6709891779254241,0.3987124121557882,1.5075173638605128e-10,0.0766687746884554,0.025457801842901584,0.25732364678906433
TRT,12,0.022477529568527017,2.5699598465881693e-14,2.104020256552899e-14,2.5700986498196275e-14,2.4424906541753444e-15,0.2084762410583284
SRT,12,0.04536914679697336,6.446195545180854e-15,1.6145522908251522e-13,1.469311752163408e-13,9.43689570931383e-15,0.1946427634043535
TRT,24,0.005559855950163775,1.8951769908162297e-13,1.6868222991806447e-13,1.1640122677259576e-13,5.662137425588298e-15,0.10522174862486777
SRT,24,0.011401813141174975,1.2781203948318994e-14,4.512381657246871e-13,5.449159524733617e-13,1.3655743202889425e-14,0.10344688015649828
TRT,48,0.0013862814917229378,9.90985062765196e-13,1.2924474233172205e-13,4.935236914552588e-13,1.509903313490213e-14,0.052731461540232824
SRT,48,0.0028541357809212893,4.1775270086348234e-14,7.655756751193624e-13,2.334535331613668e-12,1.2212453270876722e-14,0.052508167688044505
